layer_index,from_node,to_node,weight,type
2,3,4,-1.3056535,weight
2,3,5,-0.8464651,weight
2,3,6,-0.24548955,weight
2,3,7,0.91268915,weight
2,3,8,1.4755096,weight
2,3,9,-1.9846667,weight
2,3,10,-0.8214358,weight
2,4,1,3.2064316,weight
2,4,2,0.65648955,weight
2,4,3,-0.4117823,weight
2,4,4,-0.22987507,weight
2,4,5,0.36669308,weight
2,4,6,0.05437576,weight
2,4,7,-2.1613178,weight
2,4,8,0.30347437,weight
2,4,9,0.6367994,weight
2,4,10,-0.31228366,weight
2,5,1,0.7113499,weight
2,5,2,-0.5690009,weight
2,5,3,0.35072088,weight
2,5,4,0.04767916,weight
2,5,5,0.33377865,weight
2,5,6,-1.2435927,weight
2,5,7,1.0569215,weight
2,5,8,0.14609222,weight
2,5,9,-2.194119,weight
2,5,10,1.6307824,weight
2,6,1,0.28662625,weight
2,6,2,0.09012603,weight
2,6,3,-0.30670235,weight
2,6,4,0.30504704,weight
2,6,5,-0.12551937,weight
2,6,6,-3.179985,weight
2,6,7,1.5465791,weight
2,6,8,0.069500916,weight
2,6,9,-1.608237,weight
2,6,10,-1.6479111,weight
2,7,1,-0.20060435,weight
2,7,2,-0.12549517,weight
2,7,3,-0.06303178,weight
2,7,4,-0.18393037,weight
2,7,5,1.7456118,weight
2,7,6,-0.030843131,weight
2,7,7,-0.023871545,weight
2,7,8,-0.07780417,weight
2,7,9,-0.28047824,weight
2,7,10,-0.14889939,weight
2,8,1,-0.46205443,weight
2,8,2,-0.6855756,weight
2,8,3,-0.3719132,weight
2,8,4,-0.09733848,weight
2,8,5,-0.75271475,weight
2,8,6,-1.0774474,weight
2,8,7,-1.0251251,weight
2,8,8,-0.22098513,weight
2,8,9,0.8130667,weight
2,8,10,0.020749647,weight
2,9,1,-0.20533638,weight
2,9,2,0.76849234,weight
2,9,3,2.3059752,weight
2,9,4,-0.6677219,weight
2,9,5,0.19350897,weight
2,9,6,-0.23573853,weight
2,9,7,-0.9870706,weight
2,9,8,0.086802065,weight
2,9,9,0.3973269,weight
2,9,10,2.432579,weight
2,10,1,-0.006485115,weight
2,10,2,0.4414019,weight
2,10,3,1.3004423,weight
2,10,4,-0.2262059,weight
2,10,5,-0.7706249,weight
2,10,6,0.68915933,weight
2,10,7,0.7107151,weight
2,10,8,-0.64731985,weight
2,10,9,-0.7314631,weight
2,10,10,-1.1908666,weight
2,11,1,0.29405537,weight
2,11,2,-0.8568859,weight
2,11,3,-0.91405755,weight
2,11,4,0.48018977,weight
2,11,5,0.36492458,weight
2,11,6,0.77684385,weight
2,11,7,0.8885654,weight
2,11,8,0.1415715,weight
2,11,9,0.42693666,weight
2,11,10,2.1893706,weight
2,12,1,0.6400624,weight
2,12,2,0.09854913,weight
2,12,3,0.27496943,weight
2,12,4,0.9709718,weight
2,12,5,-2.1931033,weight
2,12,6,0.11889582,weight
2,12,7,-0.20212317,weight
2,12,8,0.3082057,weight
2,12,9,0.5797263,weight
2,12,10,0.46952826,weight
2,13,1,0.24225649,weight
2,13,2,0.21655104,weight
2,13,3,0.45602494,weight
2,13,4,3.2483811,weight
2,13,5,-0.26217395,weight
2,13,6,0.27169076,weight
2,13,7,-0.25871214,weight
2,13,8,0.26608095,weight
2,13,9,0.40887403,weight
2,13,10,-0.48567653,weight
2,14,1,-0.28539035,weight
2,14,2,-0.5723079,weight
2,14,3,0.5775721,weight
2,14,4,0.14770633,weight
2,14,5,0.74149096,weight
2,14,6,0.55962914,weight
2,14,7,-0.29353586,weight
2,14,8,0.43813276,weight
2,14,9,0.16542733,weight
2,14,10,-1.0554185,weight
2,15,1,-1.6082172,weight
2,15,2,0.28450266,weight
2,15,3,0.179632,weight
2,15,4,0.23052038,weight
2,15,5,-0.1042983,weight
2,15,6,-0.21197487,weight
2,15,7,0.23411013,weight
2,15,8,0.010854498,weight
2,15,9,3.5299757,weight
2,15,10,-0.53224194,weight
2,16,1,-0.20221272,weight
2,16,2,0.26621974,weight
2,16,3,-0.27457294,weight
2,16,4,0.06319186,weight
2,16,5,0.31958583,weight
2,16,6,0.03778725,weight
2,16,7,0.09354217,weight
2,16,8,-1.4742064,weight
2,16,9,0.050351433,weight
2,16,10,0.079299964,weight
2,17,1,-0.6222146,weight
2,17,2,-0.68127793,weight
2,17,3,-0.96292883,weight
2,17,4,-0.083880074,weight
2,17,5,-0.53425574,weight
2,17,6,0.68386495,weight
2,17,7,-0.024420988,weight
2,17,8,-0.0077626975,weight
2,17,9,-0.0060141697,weight
2,17,10,0.3993205,weight
2,18,1,-0.96977735,weight
2,18,2,2.3589222,weight
2,18,3,-1.5098158,weight
2,18,4,-0.54537004,weight
2,18,5,-0.21172783,weight
2,18,6,0.32781526,weight
2,18,7,-1.05273,weight
2,18,8,0.077264175,weight
2,18,9,-1.402596,weight
2,18,10,0.29360056,weight
2,19,1,-0.35088545,weight
2,19,2,-1.4975495,weight
2,19,3,0.32445514,weight
2,19,4,1.5484917,weight
2,19,5,0.23809066,weight
2,19,6,0.018275011,weight
2,19,7,-1.6661077,weight
2,19,8,0.22565666,weight
2,19,9,-0.34949705,weight
2,19,10,0.11391995,weight
2,20,1,0.61246896,weight
2,20,2,-0.26700893,weight
2,20,3,0.30645284,weight
2,20,4,-0.10967532,weight
2,20,5,-0.66207844,weight
2,20,6,-0.16616097,weight
2,20,7,-0.1667374,weight
2,20,8,-1.3472891,weight
2,20,9,-0.14389221,weight
2,20,10,-0.24562645,weight
2,21,1,0.94616735,weight
2,21,2,1.3980914,weight
2,21,3,-0.067945555,weight
2,21,4,0.49879003,weight
2,21,5,0.22744219,weight
2,21,6,-0.04712763,weight
2,21,7,1.5804775,weight
2,21,8,-0.09238703,weight
2,21,9,0.34733474,weight
2,21,10,2.6481256,weight
2,22,1,0.008169302,weight
2,22,2,0.26801068,weight
2,22,3,-0.4144711,weight
2,22,4,0.014056026,weight
2,22,5,0.10024781,weight
2,22,6,-0.1305324,weight
2,22,7,-0.11549392,weight
2,22,8,0.0037238768,weight
2,22,9,5.386223,weight
2,22,10,0.20976055,weight
2,23,1,-0.58933413,weight
2,23,2,-0.23061316,weight
2,23,3,0.16672698,weight
2,23,4,-0.37283966,weight
2,23,5,-0.38654536,weight
2,23,6,0.23496176,weight
2,23,7,-0.27857924,weight
2,23,8,1.5323809,weight
2,23,9,2.1956356,weight
2,23,10,-0.036175303,weight
2,0,1,-0.16819191,bias
2,0,2,-0.4938273,bias
2,0,3,0.34451696,bias
2,0,4,-0.21156651,bias
2,0,5,-0.16566949,bias
2,0,6,0.26173562,bias
2,0,7,-0.4396441,bias
2,0,8,0.30791312,bias
2,0,9,-0.92336017,bias
2,0,10,-0.5591746,bias
3,1,1,-1.3302196,weight
3,1,2,1.7903223,weight
3,1,3,-0.19811434,weight
3,1,4,0.29427102,weight
3,1,5,0.120399244,weight
3,1,6,-0.16452271,weight
3,1,7,-1.0371473,weight
3,1,8,-0.9443846,weight
3,1,9,-0.58633965,weight
3,1,10,-1.520496,weight
3,1,11,-0.07364351,weight
3,1,12,-0.96592623,weight
3,1,13,0.00031725096,weight
3,1,14,-1.9918745,weight
3,1,15,-6.779438,weight
3,1,16,-0.067457445,weight
3,1,17,0.25761646,weight
3,1,18,-0.34030232,weight
3,1,19,-0.029351303,weight
3,1,20,-0.80876076,weight
3,1,21,-0.12127275,weight
3,1,22,-0.8505737,weight
3,1,23,0.8953794,weight
3,2,1,-0.9552812,weight
3,2,2,-1.8262508,weight
3,2,3,-0.69279766,weight
3,2,4,0.48878196,weight
3,2,5,0.5897716,weight
3,2,6,-1.5617448,weight
3,2,7,-0.720427,weight
3,2,8,-0.7478164,weight
3,2,9,-1.5180557,weight
3,2,10,-0.22128007,weight
3,2,11,-0.48319864,weight
3,2,12,-1.3396525,weight
3,2,13,-0.10732589,weight
3,2,14,0.14112249,weight
3,2,15,0.67161703,weight
3,2,16,0.08235755,weight
3,2,17,-1.6042643,weight
3,2,18,0.15694952,weight
3,2,19,-0.18240932,weight
3,2,20,0.683692,weight
3,2,21,-0.13536876,weight
3,2,22,2.7552683,weight
3,2,23,-0.7302375,weight
3,3,1,-0.66725826,weight
3,3,2,-1.0428524,weight
3,3,3,-1.009555,weight
3,3,4,-0.41722342,weight
3,3,5,-0.7409632,weight
3,3,6,-1.0943083,weight
3,3,7,-0.3799722,weight
3,3,8,0.12669127,weight
3,3,9,2.0391471,weight
3,3,10,-0.7531427,weight
3,3,11,0.55338246,weight
3,3,12,0.15156274,weight
3,3,13,-0.13963047,weight
3,3,14,-0.5209003,weight
3,3,15,-2.1502225,weight
3,3,16,-0.23613374,weight
3,3,17,1.4577785,weight
3,3,18,-0.33918953,weight
3,3,19,0.27160516,weight
3,3,20,0.7335922,weight
3,3,21,-0.0469965,weight
3,3,22,-3.0092053,weight
3,3,23,0.53412205,weight
3,4,1,0.095226,weight
3,4,2,0.92051035,weight
3,4,3,-0.13143347,weight
3,4,4,0.52033144,weight
3,4,5,-3.6809218,weight
3,4,6,-0.6169388,weight
3,4,7,-1.3522775,weight
3,4,8,0.72308946,weight
3,4,9,-0.2529805,weight
3,4,10,0.39499983,weight
3,4,11,-0.1303491,weight
3,4,12,-2.725804,weight
3,4,13,-1.6109643,weight
3,4,14,1.528096,weight
3,4,15,-0.8550414,weight
3,4,16,-0.50710744,weight
3,4,17,0.31789058,weight
3,4,18,-1.6347241,weight
3,4,19,1.3278702,weight
3,4,20,0.25112084,weight
3,4,21,-0.047472145,weight
3,4,22,-0.7123104,weight
3,4,23,-1.5581512,weight
3,5,1,-0.15160663,weight
3,5,2,1.8738695,weight
3,5,3,-0.42777517,weight
3,5,4,-0.81378835,weight
3,5,5,-0.7624052,weight
3,5,6,-2.2967384,weight
3,5,7,-0.06676522,weight
3,5,8,-2.8760245,weight
3,5,9,0.08988383,weight
3,5,10,0.042694375,weight
3,5,11,-0.14060657,weight
3,5,12,1.0598584,weight
3,5,13,0.6160884,weight
3,5,14,0.8643,weight
3,5,15,-1.1694095,weight
3,5,16,-0.5462768,weight
3,5,17,0.1275703,weight
3,5,18,2.477445,weight
3,5,19,0.5716655,weight
3,5,20,1.6659248,weight
3,5,21,-0.09041914,weight
3,5,22,-0.41773075,weight
3,5,23,-1.0142215,weight
3,6,1,0.24544087,weight
3,6,2,-0.019165605,weight
3,6,3,2.2837617,weight
3,6,4,0.55356103,weight
3,6,5,0.21630381,weight
3,6,6,-1.2726473,weight
3,6,7,0.0067665903,weight
3,6,8,0.513604,weight
3,6,9,0.94977576,weight
3,6,10,-0.1750239,weight
3,6,11,-1.2530456,weight
3,6,12,-0.63431954,weight
3,6,13,0.25499746,weight
3,6,14,-0.49690697,weight
3,6,15,1.8842956,weight
3,6,16,-0.45267844,weight
3,6,17,-2.572845,weight
3,6,18,-0.2557261,weight
3,6,19,-0.2249714,weight
3,6,20,1.1853014,weight
3,6,21,-15.832688,weight
3,6,22,2.545101,weight
3,6,23,0.9418528,weight
3,7,1,-0.4724824,weight
3,7,2,-0.51997817,weight
3,7,3,1.7543926,weight
3,7,4,0.6836004,weight
3,7,5,1.4155246,weight
3,7,6,-0.9020943,weight
3,7,7,-0.31317905,weight
3,7,8,-0.49399915,weight
3,7,9,0.008308699,weight
3,7,10,0.7531017,weight
3,7,11,-12.189726,weight
3,7,12,-1.1103408,weight
3,7,13,0.19682573,weight
3,7,14,0.76103085,weight
3,7,15,-2.5945725,weight
3,7,16,-0.14354315,weight
3,7,17,2.0964758,weight
3,7,18,0.38057032,weight
3,7,19,-0.556208,weight
3,7,20,0.2007382,weight
3,7,21,-0.2589052,weight
3,7,22,-6.3620887,weight
3,7,23,-0.86811084,weight
3,8,1,-0.2430748,weight
3,8,2,-0.32583955,weight
3,8,3,0.5340463,weight
3,8,4,-2.9448009,weight
3,8,5,0.77779555,weight
3,8,6,-0.2974357,weight
3,8,7,-0.43743122,weight
3,8,8,0.61745507,weight
3,8,9,-0.70870113,weight
3,8,10,0.116981,weight
3,8,11,-0.049293585,weight
3,8,12,1.2048362,weight
3,8,13,-2.8542583,weight
3,8,14,-0.3003012,weight
3,8,15,-1.2831211,weight
3,8,16,-4.0104904,weight
3,8,17,0.27730796,weight
3,8,18,-1.0341084,weight
3,8,19,-4.1776004,weight
3,8,20,-0.04453205,weight
3,8,21,-0.2570098,weight
3,8,22,-0.67992777,weight
3,8,23,0.3304613,weight
3,9,1,-0.13907617,weight
3,9,2,0.24177167,weight
3,9,3,-0.10305075,weight
3,9,4,0.047516968,weight
3,9,5,0.100292854,weight
3,9,6,0.15592602,weight
3,9,7,-0.37013617,weight
3,9,8,-0.7288932,weight
3,9,9,0.09997913,weight
3,9,10,1.8715233,weight
3,9,11,0.039070215,weight
3,9,12,-0.17897435,weight
3,9,13,0.06482466,weight
3,9,14,-0.4940711,weight
3,9,15,24.019855,weight
3,9,16,-0.080926694,weight
3,9,17,0.05664639,weight
3,9,18,0.16593844,weight
3,9,19,-0.017384695,weight
3,9,20,-0.35470125,weight
3,9,21,-0.05972641,weight
3,9,22,0.24217547,weight
3,9,23,0.31843334,weight
3,10,1,-0.8615029,weight
3,10,2,-0.14255849,weight
3,10,3,0.07655311,weight
3,10,4,-0.31627145,weight
3,10,5,-0.053860586,weight
3,10,6,1.0794371,weight
3,10,7,-0.5671582,weight
3,10,8,-0.694147,weight
3,10,9,0.7236197,weight
3,10,10,-0.49182248,weight
3,10,11,-0.46850967,weight
3,10,12,-0.028488034,weight
3,10,13,-0.34953022,weight
3,10,14,0.98406893,weight
3,10,15,-0.78322595,weight
3,10,16,0.41934115,weight
3,10,17,-0.69022155,weight
3,10,18,0.19975857,weight
3,10,19,0.05241545,weight
3,10,20,-1.4121788,weight
3,10,21,0.13893755,weight
3,10,22,1.5689864,weight
3,10,23,-1.7688961,weight
3,0,1,0.07646526,bias
3,0,2,-0.57520866,bias
3,0,3,-0.8486339,bias
3,0,4,-0.35123596,bias
3,0,5,-1.1095984,bias
3,0,6,0.04536492,bias
3,0,7,0.494255,bias
3,0,8,-1.050017,bias
3,0,9,-0.5249475,bias
3,0,10,-0.08525339,bias
3,0,11,-0.9026042,bias
3,0,12,-0.4664054,bias
3,0,13,-0.61135566,bias
3,0,14,-2.0064416,bias
3,0,15,-5.554029,bias
3,0,16,-0.48388597,bias
3,0,17,-0.77395856,bias
3,0,18,-0.9099481,bias
3,0,19,-1.5740796,bias
3,0,20,-1.6519209,bias
3,0,21,-1.2622395,bias
3,0,22,-3.0688949,bias
3,0,23,-0.0010704173,bias
4,1,1,0.86319935,weight
4,1,2,0.450162,weight
4,1,3,0.52034855,weight
4,1,4,1.2422286,weight
4,1,5,-1.1562263,weight
4,1,6,-0.90726066,weight
4,1,7,-0.123745084,weight
4,1,8,-0.12644102,weight
4,1,9,-0.880309,weight
4,1,10,0.02332207,weight
4,1,11,0.4515195,weight
4,2,1,0.56068915,weight
4,2,2,0.34304762,weight
4,2,3,0.060249615,weight
4,2,4,0.01113558,weight
4,2,5,1.0280987,weight
4,2,6,-0.75480866,weight
4,2,7,0.72179216,weight
4,2,8,-0.035678796,weight
4,2,9,-0.14535865,weight
4,2,10,-0.009169134,weight
4,2,11,0.33992407,weight
4,3,1,-0.8004762,weight
4,3,2,-0.27854523,weight
4,3,3,0.23944832,weight
4,3,4,0.22603874,weight
4,3,5,0.2723267,weight
4,3,6,-0.65074885,weight
4,3,7,-0.13603374,weight
4,3,8,-0.1528798,weight
4,3,9,0.99950016,weight
4,3,10,0.26490125,weight
4,3,11,0.7357078,weight
4,4,1,0.35372686,weight
4,4,2,1.8265624,weight
4,4,3,0.16092966,weight
4,4,4,1.4142984,weight
4,4,5,0.9882588,weight
4,4,6,1.0298246,weight
4,4,7,-1.0239774,weight
4,4,8,0.0799785,weight
4,4,9,-0.16547799,weight
4,4,10,0.02120042,weight
4,4,11,-0.27981544,weight
4,5,1,-1.6578681,weight
4,5,2,1.1490804,weight
4,5,3,0.0029726098,weight
4,5,4,-0.9068165,weight
4,5,5,-0.8889729,weight
4,5,6,-0.362648,weight
4,5,7,1.0418452,weight
4,5,8,0.008458583,weight
4,5,9,0.8296467,weight
4,5,10,-0.06383952,weight
4,5,11,-0.53845084,weight
4,6,1,0.6395439,weight
4,6,2,1.2834426,weight
4,6,3,-0.18028829,weight
4,6,4,-0.5542437,weight
4,6,5,-0.92854697,weight
4,6,6,-0.9304441,weight
4,6,7,-1.515621,weight
4,6,8,-0.012194971,weight
4,6,9,0.9687167,weight
4,6,10,-0.11472632,weight
4,6,11,0.070329286,weight
4,7,1,0.6836834,weight
4,7,2,1.1766244,weight
4,7,3,1.2819824,weight
4,7,4,0.76583993,weight
4,7,5,-1.7203867,weight
4,7,6,-0.39217612,weight
4,7,7,1.4522192,weight
4,7,8,0.22369145,weight
4,7,9,-0.39087728,weight
4,7,10,-0.045918014,weight
4,7,11,0.98934543,weight
4,8,1,-0.15173428,weight
4,8,2,-0.46215194,weight
4,8,3,0.6978614,weight
4,8,4,-0.11790205,weight
4,8,5,-0.6667516,weight
4,8,6,-0.37683135,weight
4,8,7,-1.882206,weight
4,8,8,-0.084145226,weight
4,8,9,-0.769407,weight
4,8,10,0.038512666,weight
4,8,11,0.7098722,weight
4,9,1,0.3682968,weight
4,9,2,-0.05762121,weight
4,9,3,-0.4449018,weight
4,9,4,-0.06467031,weight
4,9,5,-0.059025653,weight
4,9,6,0.9135143,weight
4,9,7,-0.055798043,weight
4,9,8,-0.034267627,weight
4,9,9,0.54941374,weight
4,9,10,0.047767106,weight
4,9,11,1.463414,weight
4,10,1,0.01573841,weight
