layer_index,layer_name,from_node,to_node,weight
1,input_to_hidden1,4,5,0.05100220814347267
1,input_to_hidden1,4,6,0.10562612861394882
1,input_to_hidden1,4,7,-0.1433151364326477
1,input_to_hidden1,4,8,-0.07539361715316772
1,input_to_hidden1,4,9,-0.22268882393836975
1,input_to_hidden1,4,10,-0.053497638553380966
1,input_to_hidden1,4,11,0.29141366481781006
1,input_to_hidden1,4,12,-0.17036370933055878
1,input_to_hidden1,5,1,-0.03230493143200874
1,input_to_hidden1,5,2,-0.0648711621761322
1,input_to_hidden1,5,3,-0.03120364062488079
1,input_to_hidden1,5,4,-0.12766997516155243
1,input_to_hidden1,5,5,-0.28240275382995605
1,input_to_hidden1,5,6,-0.374253511428833
1,input_to_hidden1,5,7,0.29348185658454895
1,input_to_hidden1,5,8,-0.2907734811306
1,input_to_hidden1,5,9,0.3653225898742676
1,input_to_hidden1,5,10,0.11977874487638474
1,input_to_hidden1,5,11,-0.548785388469696
1,input_to_hidden1,5,12,0.058604896068573
1,input_to_hidden1,6,1,0.040762703865766525
1,input_to_hidden1,6,2,-0.2991763949394226
1,input_to_hidden1,6,3,0.40720024704933167
1,input_to_hidden1,6,4,0.07342002540826797
1,input_to_hidden1,6,5,-0.4613403379917145
1,input_to_hidden1,6,6,0.24068430066108704
1,input_to_hidden1,6,7,0.09369684010744095
1,input_to_hidden1,6,8,-0.1976952999830246
1,input_to_hidden1,6,9,0.0976136177778244
1,input_to_hidden1,6,10,-0.32483816146850586
1,input_to_hidden1,6,11,0.40422049164772034
1,input_to_hidden1,6,12,0.6884268522262573
1,input_to_hidden1,7,1,0.04915657266974449
1,input_to_hidden1,7,2,0.013268321752548218
1,input_to_hidden1,7,3,0.2145121842622757
1,input_to_hidden1,7,4,-0.11124337464570999
1,input_to_hidden1,7,5,-0.1928446888923645
1,input_to_hidden1,7,6,0.10290130227804184
1,input_to_hidden1,7,7,0.226421058177948
1,input_to_hidden1,7,8,-0.17627264559268951
1,input_to_hidden1,7,9,-0.44218170642852783
1,input_to_hidden1,7,10,-0.08559013903141022
1,input_to_hidden1,7,11,0.028736183419823647
1,input_to_hidden1,7,12,-0.18163195252418518
1,input_to_hidden1,8,1,0.44076794385910034
1,input_to_hidden1,8,2,-0.17333953082561493
1,input_to_hidden1,8,3,0.06268758326768875
1,input_to_hidden1,8,4,-0.2852521240711212
1,input_to_hidden1,8,5,-0.3384157717227936
1,input_to_hidden1,8,6,-0.10328955203294754
1,input_to_hidden1,8,7,0.10957223922014236
1,input_to_hidden1,8,8,-0.09603040665388107
1,input_to_hidden1,8,9,-0.12628017365932465
1,input_to_hidden1,8,10,0.032894641160964966
1,input_to_hidden1,8,11,0.07712812721729279
1,input_to_hidden1,8,12,0.1369692087173462
1,input_to_hidden1,9,1,-0.34005802869796753
1,input_to_hidden1,9,2,-0.24968092143535614
1,input_to_hidden1,9,3,0.3603789508342743
1,input_to_hidden1,9,4,-0.38541293144226074
1,input_to_hidden1,9,5,-0.20679834485054016
1,input_to_hidden1,9,6,0.12153349816799164
1,input_to_hidden1,9,7,-0.04155494645237923
1,input_to_hidden1,9,8,0.41824576258659363
1,input_to_hidden1,9,9,-0.06021356210112572
1,input_to_hidden1,9,10,-0.445720911026001
1,input_to_hidden1,9,11,-0.35050833225250244
1,input_to_hidden1,9,12,0.2790093421936035
1,input_to_hidden1,10,1,0.13138854503631592
1,input_to_hidden1,10,2,-0.03156532719731331
1,input_to_hidden1,10,3,-0.5636777877807617
1,input_to_hidden1,10,4,-0.01564185880124569
1,input_to_hidden1,10,5,-0.3897327184677124
1,input_to_hidden1,10,6,-0.538707435131073
1,input_to_hidden1,10,7,-0.20930509269237518
