layer_index,from_node,to_node,weight,type
4,12,5,0.11567468,weight
4,12,6,0.08845579,weight
4,12,7,0.047464766,weight
4,12,8,-0.022835938,weight
4,12,9,-0.055847414,weight
4,12,10,0.0809538,weight
4,12,11,0.15016386,weight
4,0,1,0.06329386,bias
4,0,2,0.08111676,bias
4,0,3,0.13519585,bias
4,0,4,0.05696196,bias
4,0,5,0.053956263,bias
4,0,6,0.090760484,bias
4,0,7,0.06783097,bias
4,0,8,0.05663825,bias
4,0,9,0.08515506,bias
4,0,10,0.04939032,bias
4,0,11,0.0683324,bias
